Sub Category,Price,Discount,Rating,Title,Currency,Feature,Product Description,image_url
Bakery & Desserts,$56.99,No Discount,Rated 4.3 out of 5 stars based on 265 reviews.,"David’s Cookies Mile High Peanut Butter Cake, 6.8 lbs (14 Servings)",$,"""10"""" Peanut Butter Cake
Certified Kosher OU-D
14 Servings","A cake the dessert epicure will die for!Our Top Selling Cake! Fudge brownie base, layered in velvety smooth peanut butter mousse, rich chocolate cake, topped with brownie chunks, handful of peanut butter chips, drizzled in fudge. This cake is the thoughtful gift idea that’s perfect for family, friends, coworkers, or to anyone you care about in your life. -	Generously sized precut slices, a cake lover’s dreams come true! Includes:Measures 10” diameterWeighs in at 6.8 lbs.14 servings OU-D certified, the most trusted kosher certification in the U.S.All natural with no added preservativesSome of our products may contain nuts. Our facility is NOT a nut-free facility, and as a result it is possible that any product may have come in contact with nut or nut oils",https://pixabay.com/get/g29a20ff11e20a71599fa7d0ad45f1b47de1522ba7f42ac2a49d30cad6d4c3dcc51921e3269a4c8d2a8d24f514f9cfc0bde171af2a57a6976182804282091c4b3_1280.jpg
Bakery & Desserts,$159.99,No Discount,Rated 5 out of 5 stars based on 1 reviews.,"The Cake Bake Shop 8"" Round Carrot Cake (16-22 Servings)",$,"Spiced Carrot Cake with Cream Cheese Frosting Silk Cherry Blossom Flowers (Not Edible) No Nuts or Raisins Dimensions: 9” Diameter, 7” High 16-22 Servings","Due to the perishable nature of this item, orders do NOT ship over the weekend. Orders can only be delivered on Wednesday, Thursday and Friday. Minimum delivery time is 5 business days. Plate not included. Gwendolyn Rogers' The Cake Bake Shop is famous for handcrafting magnificent and delicious cakes and desserts for her award winning restaurants. Each cake arrives beautifully packaged in her bakery’s signature pink and gold cake box with a pink satin ribbon and is topped with the bakery’s dusting of edible Pixie Glitter®, adding a sparkling finish to every dessert. Gwendolyn’s moist and delicious carrot cake is made with hand peeled and freshly grated carrots. Perfectly spiced with just the right amount of cinnamon, this cake has no nuts and no raisins. The three layers of spiced carrot cake are then filled and frosted with Gwendolyn's signature homemade cream cheese frosting. Topped with decorative pink silk cherry blossom flowers. Features: Flavor: Spiced Carrot Cake
Cake Filling: Cream Cheese Frosting
Cake Frosting: Cream Cheese Frosting
Topped with Pink Silk Cherry Blossom Flowers (cherry blossom flowers are not edible, please do not consume, remove before eating)
Dimensions: 9” diameter, 7” high
Serves 16-22
Each Cake Arrives With It’s Own Cake Care Card
Allergens: Contains Wheat, Milk, Soy, Egg
Ships Frozen",https://pixabay.com/get/gd9ce29b7a0ed76bd1289c8aa874c57b9243234385a72b4455b34f8d4be71e47d2ccd3c31649610ffa0819d9ff8df2ed62ddf69666e81f68c65efc2a04f560b28_1280.jpg
Bakery & Desserts,$44.99,No Discount,Rated 4.1 out of 5 stars based on 441 reviews.,"St Michel Madeleine, Classic French Sponge Cake 100 - count",$,"100 count
Individually wrapped
Made in and Imported from France
Free-range eggs
Non-GMO ingredients","Moist and buttery sponge cakes with the traditional European madeleine flavor of almond. The Classic Madeleine is baked in the shape of seashell with ridges on one side and a “belly” on the other. Each madeleine is individually-wrapped for portion control and convenience.The Origin of the Madeleine: 18th century King Stanislas 1st, Duke of Lorraine During a festive dinner party in Commercy, France, the king’s chef abruptly left the kitchen. Seeking a solution to feed his guests dessert, a servant girl in the kitchen offered to make her family’s traditional pastry. The king enjoyed the little cake so much that he named it after the servant: Madeleine. Baked with non-GMO ingredients and free-range eggs. No preservatives, palm oil, hydrogenated oil or colorings. Baked with love in France.We all have our Madeleine moment:Enjoy everyday for breakfast, snack or dessert (Just as the French do!)Pack in lunches or backpacks for schoolServe during business, book club or PTA meetingsCut in half and fill with jelly or chocolate hazelnut spreadDecorate cakes or cupcakes with classic seashell shapeIncludes:100 countIndividually wrappedFree-range eggsNon-GMO ingredients",https://pixabay.com/get/g82adb8d93379c386e320cdaef0ce12ec21ee1eccd8110e403baca0991c9d71be9f360e2d4f31d3ef8c80ff84632b5fa018d7386f82d322d839288075f4deb330_1280.jpg
Bakery & Desserts,$39.99,No Discount,Rated 4.7 out of 5 stars based on 9459 reviews.,"David's Cookies Butter Pecan Meltaways 32 oz, 2-pack",$,"Butter Pecan Meltaways
32 oz 2-Pack
No Preservatives
Certified Kosher OU-D
Contains Nuts","These delectable butter pecan meltaways are the perfect snack or dessert for the whole family. The treats are made with pure creamy butter and large pecan chunks and have just the right amount of powdered sugar to satisfy your sweet tooth.Includes:Includes: 2 Tins (32 oz. each)Contains nutsNo preservativesEnjoy with your morning coffee or teaCookies can be stored at room temperature for up to 60 daysEach tin contains approximately 64 cookiesKosher OU-DSome of our products may contain nuts. Our facility is NOT a nut-free facility, and as a result it is possible that any product may have come in contact with nut or nut oils",https://pixabay.com/get/g9e149be7221ba20c71f18f1fdf103fe62347a72ce2444e116763090bcca84196e63a8a119ea06c453a8d2b9b8035a85df43e25c7c978afb63a06b8e0ff808a95_1280.jpg
Bakery & Desserts,$59.99,No Discount,Rated 4.5 out of 5 stars based on 758 reviews.,"David’s Cookies Premier Chocolate Cake, 7.2 lbs (Serves 14)",$,"""10"" Four Layer Chocolate Cake
Certified Kosher OU-D
Serves 14","A cake the dessert epicure will die for!To the ultimate chocolate lover - We've baked your dream cake! Four split layers of our rich chocolate cake, filled with a smooth milk chocolate mousse, finished in chocolate ganache & covered in dark chocolate bark pieces. This cake is the thoughtful gift idea that’s perfect for family, friends, coworkers, or to anyone you care about in your life. Generously sized precut slices, A cake lover’s dreams come true! Includes:1 - 10” Premier Chocolate Overload CakeWeighs in at 7.2 lbs.14 Servings OU-D certified, the most trusted kosher certification in the U.S.All natural with no added preservativesSome of our products may contain nuts. Our facility is NOT a nut-free facility, and as a result it is possible that any product may have come in contact with nut or nut oils",https://pixabay.com/get/g3ea55f59c0ecbe50f8db6b998138c8c11df1c22f4f938f58affaf06bbf2c5aaf1a41e3fafbf5395d10c4ae8c467575b42c03fa8633d4842f7b4b6a5c441d3aea_1280.jpg
Bakery & Desserts,$59.99,No Discount,Rated 4.4 out of 5 stars based on 369 reviews.,David's Cookies Mango & Strawberry Cheesecake 2-count (28 Slices Total),$,"2-count
Strawberry Cheesecake
Mango Cheesecake
Kosher OU-D certified","Strawberry Cheesecake: There's only one way to make our cheesecakes taste even better - add fruit! We've topped off our plain New York cheesecake with a generous helping of strawberry preserves for a taste that's to die for. Each slice is packed with loads of creamy filling, graham crust and sweet strawberries.Mango Cheesecake: We've done it again with our Mango Cheesecake. It's a 10"" cake with swirls of mango on top of a creamy cheesecake and delicious crust. This mix of cream cheese, and mango will take you on a tropical journey of satisfaction!Includes:2-pack Includes: 1 Strawberry Cheesecake and 1 Mango CheesecakeKosher OU-D certifiedEach cheesecake serves approximately 14 people28 slices total Diameter: 10"" eachWeight: Approximately 4 lbs. eachShips in Cooler with Dry Ice to Maintain Quality & FreshnessMade in the USASome of our products may contain nuts. Our facility is NOT a nut-free facility, and as a result it is possible that any product may have come in contact with nut or nut oilsImportant Handling Instructions: If not being consumed immediately upon arrival, cakes should be placed in freezer. Allow two hours for cakes to thaw prior to serving. The dessert will arrive at least partially frozen and can be refrozen in its original packaging for up to 6 months or stored in a refrigerator for at least 2 to 3 days.",https://pixabay.com/get/g7157aa6f2006af238acbafbb7d516d87c0cb223ee7215b7aa8cc328023674deca5355857046f51cb10555ad5f39227f214f7f546ac4accab0a00e3cd7df98d96_1280.jpg
Bakery & Desserts,$74.99,No Discount,Rated 4.7 out of 5 stars based on 2241 reviews.,"La Grande Galette French Butter Cookies, 1.3 lb, 6-pack",$,"1.3 lb, 6-count
Baked in, and Imported from, France
Non-GMO, No Trans Fat, No Hydrogenated Oil Palm Oil Free","Once upon a time in the French coastal town of St Michel Chef-Chef, a Chef Pâtissier Grellier was making delicious round butter cookies he called Galettes from his secret recipe that he baked with love in his oven. His Galettes were so delicious and popular that one day, his wife Constance had a genius idea: “Why not sell the cookies to the beachgoers visiting from Paris?” The cookies were a huge hit and the French Galette was born. This is the St Michel Bakery started in 1905. Since then, this family owned company brings you the very best of French butter cookies and other French pastry delights. La Grande Galette is inspired from an original recipe from 1905 in the tradition of French Cookie Baking. St Michel French Butter Cookies are made only from selected wholesome ingredients like free-range eggs our specialty Guérande Sea Salt. No Coloring, no preservatives, no hydrogenated fat and no palm oil guaranteed. Includes: 6 Pack Total - Each carton holds 1.3LB (600g) per pack Each carton holds 12 individual Pouches of 3 cookies each for freshness per pack. Total 36 cookies per carton.
French traditional style Butter Cookies accented with sea salt
Large round and crispy cookies stamped with the mark of St Michel’s heritage",https://pixabay.com/get/gf795d9dc879cdeb708cc42427f0bb7f00bc7dc8a15311e2e3200310a41fdd0794639965ff2f6d78bfaf91986c4ff877fd3f710522a39265360b674a448c023d9_1280.jpg
Bakery & Desserts,$59.99,No Discount,Rated 4.4 out of 5 stars based on 232 reviews.,"David's Cookies No Sugar Added Cheesecake & Marble Truffle Cake, 2-pack (28 Slices Total)",$,"2-count
No Sugar Added
Kosher OU-Dairy","Creamy Dreamy:This smooth creamy cheesecake has no sugar added and no flour. It’s hard to believe we’ve taken that out, and what remains is a light luscious dessert with no unpleasant aftertaste.Marble Truffle:A layer of our rich, delicious, flourless, no-sugar-added (NSA) chocolate truffle cake is topped with a layer of our wonderful no-sugar-added cheesecake, then swirled with a bit of chocolate on top. The combination results in a flourless cake that is the perfect blend of rich sinful chocolate balanced with cool creamy cheesecake. Perfect for chocolate lovers as well as cheesecake lovers.Includes:1 - Creamy Dreamy Cheesecake 1- Marble Truffle CheesecakeEach Cheesecake serves approximately 14 people28 slices totalWeight: Approximately 3 lbs. 5 oz. EachShips in Cooler with Dry Ice to Maintain Quality & FreshnessMade in the USAKosher OU-DairySome of our products may contain nuts. Our facility is NOT a nut-free facility, and as a result it is possible that any product may have come in contact with nut or nut oilsImportant Handling Instructions: If not being consumed immediately upon arrival, cakes should be placed in freezer. Allow two hours for cakes to thaw prior to serving. The dessert will arrive at least partially frozen and can be refrozen in its original packaging for up to 6 months or stored in a refrigerator for at least 2 to 3 days.",https://pixabay.com/get/g11cee3aca9efab7f1ae01f0dfc882ebd7c3137294327a13d84ef1bac26a1affae324c5f0e080fe12d6894c701a0ef118e33c620206e0e4967a04f05757a7dea4_1280.jpg
Bakery & Desserts,$29.99,No Discount,Rated 4.4 out of 5 stars based on 1679 reviews.,David's Cookies Brownie and Cookie Combo Pack,$,"6 Rocky Road Brownies
12 Chocoloate Chunk Cookies
Kosher Dairy OUD","Due to the perishable nature of this product orders will only ship on Monday and Tuesday for Thursday and Friday delivery. Orders will not ship over the weekend. Orders placed after 9 am PST on Tuesday will not ship until the following Monday.David’s Cookies has perfected the art of the chocolate chunk cookie by using only the best ingredients. Our recipe calls for fresh eggs, milk, velvety butter, and loads of big Chocolate chunks to create the most irresistible cookies on this planet.Chocolate Chunk:Approximately 12 cookies/servingsKosher Dairy OUDCan be frozen for up to 6 months Brownie Tray:Fudgy chocolate brownie made with pure melted chocolate. Filled with walnuts, chocolate chips, peanut butter chips and topped with chocolate ganache drizzle. Approximately 6 servingsKosher Dairy OUDCan be frozen for up to 6 monthsSome of our products may contain nuts. Our facility is NOT a nut-free facility, and as a result it is possible that any product may have come in contact with nut or nut oils",https://pixabay.com/get/g598d916e912fcdc2973848fd3a8120caef65951c4031230de98d4b59b2428a30512d2a85f318ef5a1c4504137c4fee92df5a77b53ff66dc43a839b41299cdff1_1280.jpg
Bakery & Desserts,$159.99,No Discount,Rated 5 out of 5 stars based on 2 reviews.,"The Cake Bake Shop 8"" Round Chocolate Cake (16-22 Servings)",$,"3 Layers of French Valrhona Chocolate Cake Mousse Malted Cream & Fudge Frosting Topped with Fleur de Sel & Does Not Come with Flower Dimensions: 9” Diameter, 7” High 16-22 Servings","Due to the perishable nature of this item, orders do NOT ship over the weekend. Orders can only be delivered on Wednesday, Thursday and Friday. Minimum delivery time is 5 business days. Peony flower and plate not included. Gwendolyn Rogers' The Cake Bake Shop is famous for handcrafting magnificent and delicious cakes and desserts for her award winning restaurants. Each cake arrives beautifully packaged in her bakery’s signature pink and gold cake box with a pink satin ribbon and is topped with the bakery’s dusting of edible Pixie Glitter®, adding a sparkling finish to every dessert. Gwendolyn's famous Earl's Court Chocolate Cake is the most popular cake in her bakeries. This decadent chocolate cake is three layers of French Valrhona chocolate cake, filled with silky Callebaut Belgian chocolate ganache and mousse-like chocolate malted cream. Frosted with her signature dark fudge Callebaut frosting and topped with a sprinkling of Fleur de Sel Sea salt that comes from the Île de Ré in the South of France. This salt is only harvested three months out of the year and is the perfect topping for her cake. Features: Flavor: Valrhona Chocolate Cake
Cake Filling: Chocolate Ganache and Mousse Malted Cream
Cake Frosting: Fudge Frosting topped with Fleur de Sel
Dimensions: 9” diameter, 7” high
Serves 16-22
Each Cake Arrives With It’s Own Cake Care Card
Allergens: Contains Wheat, Milk, Soy, Egg
Ships Frozen",https://pixabay.com/get/g5454cdfecef16530ca30e1f7c73222a7494b55a3d96deaf8350bc3d69c2504bd279a38818c94a018d447429edbcde87ad2705e4923b8b284c168b237eae1628c_1280.jpg
